,time,open,high,low,close,volume
2100,2022-04-29 12:05:00,911.27,911.43,902.72,904.03,302408
2101,2022-04-29 12:00:00,915.81,916.5,910.2103,911.165,220022
2102,2022-04-29 11:55:00,915.18,917.38,912.5,916.0,200821
2103,2022-04-29 11:50:00,914.76,919.0,914.157,914.92,396560
2104,2022-04-29 11:45:00,909.64,915.43,909.43,914.58,252252
2105,2022-04-29 11:40:00,909.845,911.1399,908.4,910.1183,166064
2106,2022-04-29 11:35:00,905.75,913.1563,905.3,910.22,285522
2107,2022-04-29 11:30:00,908.12,908.12,904.19,906.5,228007
2108,2022-04-29 11:25:00,906.29,909.88,903.66,907.74,210916
2109,2022-04-29 11:20:00,905.82,908.4395,904.5,906.1464,170235
2110,2022-04-29 11:15:00,907.53,907.9,903.0,906.22,228716
2111,2022-04-29 11:10:00,909.3083,913.64,906.3201,907.36,325326
2112,2022-04-29 11:05:00,908.4,909.71,904.91,909.305,288004
2113,2022-04-29 11:00:00,904.1299,909.0,903.11,908.5,435210
2114,2022-04-29 10:55:00,905.6665,906.8631,901.02,904.08,367113
2115,2022-04-29 10:50:00,909.57,910.6467,903.28,905.3088,443993
2116,2022-04-29 10:45:00,914.69,916.2316,908.45,909.63,381661
2117,2022-04-29 10:40:00,919.25,920.07,911.7,914.61,387495
2118,2022-04-29 10:35:00,917.0,923.8799,915.34,919.0472,383267
2119,2022-04-29 10:30:00,920.87,922.6,915.12,917.21,395823
2120,2022-04-29 10:25:00,917.13,923.37,915.61,920.685,447389
2121,2022-04-29 10:20:00,928.61,932.36,913.44,916.77,819300
2122,2022-04-29 10:15:00,925.36,930.56,924.0,928.675,607433
2123,2022-04-29 10:10:00,926.4,926.83,918.57,925.0,586336
2124,2022-04-29 10:05:00,932.7423,934.3999,923.5,926.48,1078010
2125,2022-04-29 10:00:00,918.9,933.368,918.7378,932.8973,1226589
2126,2022-04-29 09:55:00,908.5912,918.91,908.295,918.8677,736168
2127,2022-04-29 09:50:00,905.91,910.449,899.5,908.3227,617350
2128,2022-04-29 09:45:00,900.0514,907.4299,897.53,906.0,762130
2129,2022-04-29 09:40:00,912.78,918.4131,899.21,900.5,1121579
2130,2022-04-29 09:35:00,902.25,914.31,890.09,912.83,1461166
2131,2022-04-29 09:30:00,898.98,903.99,896.51,902.0,78470
2132,2022-04-29 09:25:00,894.0,898.8,893.94,898.8,42126
2133,2022-04-29 09:20:00,889.83,894.99,889.44,894.42,21772
2134,2022-04-29 09:15:00,888.5,892.17,888.0,889.0,30007
2135,2022-04-29 09:10:00,892.0,892.0,888.31,888.31,30788
2136,2022-04-29 09:05:00,894.0,894.0,891.2501,892.0,12097
2137,2022-04-29 09:00:00,896.0,896.66,895.0,895.0,16492
2138,2022-04-29 08:55:00,897.51,897.71,895.2,896.65,16633
2139,2022-04-29 08:50:00,896.01,899.0,896.01,898.18,28408
2140,2022-04-29 08:45:00,893.0,897.0,893.0,897.0,20708
2141,2022-04-29 08:40:00,893.06,894.95,891.0,894.8599,19280
2142,2022-04-29 08:35:00,894.0,895.0,891.2,893.5,26544
2143,2022-04-29 08:30:00,895.0,895.79,894.0,894.0,14057
2144,2022-04-29 08:25:00,893.097,895.25,893.097,895.25,22963
2145,2022-04-29 08:20:00,892.0,894.0,892.0,893.6,13977
2146,2022-04-29 08:15:00,892.0,892.7859,891.0352,892.0,11981
2147,2022-04-29 08:10:00,892.0,892.99,890.8,891.6368,10836
2148,2022-04-29 08:05:00,900.9999,907.68,883.5612,891.25,94359
2149,2022-04-29 08:00:00,891.75,892.4,890.0,890.0,9028
2150,2022-04-29 07:55:00,891.8,891.8,890.5,891.4,11358
2151,2022-04-29 07:50:00,892.99,893.0,891.8,891.8,3173
2152,2022-04-29 07:45:00,894.79,894.79,891.06,893.0,9488
2153,2022-04-29 07:40:00,893.0,894.9,892.0,894.79,9803
2154,2022-04-29 07:35:00,895.97,896.0,891.05,892.5,13878
2155,2022-04-29 07:30:00,892.74,896.83,892.74,894.9,20818
2156,2022-04-29 07:25:00,890.59,892.0,889.0,891.45,16893
2157,2022-04-29 07:20:00,886.0,890.0,884.73,890.0,17780
2158,2022-04-29 07:15:00,892.0,892.0,884.46,886.0,25110
2159,2022-04-29 07:10:00,898.3,898.3,888.0,893.0,53284
2160,2022-04-29 07:05:00,897.7,904.84,897.52,898.65,47253
2161,2022-04-29 07:00:00,899.8,900.0,899.8,900.0,1883
2162,2022-04-29 06:55:00,900.0,900.0,899.99,899.99,4939
2163,2022-04-29 06:50:00,903.0,903.0,898.0,900.0,18589
2164,2022-04-29 06:45:00,903.75,903.89,903.0,903.0,2007
2165,2022-04-29 06:40:00,904.01,904.26,904.0,904.26,2686
2166,2022-04-29 06:30:00,905.01,905.34,905.01,905.34,1143
2167,2022-04-29 06:25:00,906.55,906.55,906.21,906.21,3750
2168,2022-04-29 06:20:00,904.5,906.5,904.5,906.5,4489
2169,2022-04-29 06:15:00,904.55,906.0,904.55,906.0,2530
2170,2022-04-29 06:10:00,905.0,905.0,905.0,905.0,317
2171,2022-04-29 06:05:00,906.5,906.5,906.0,906.0,2055
2172,2022-04-29 06:00:00,903.36,903.5,902.41,903.0,7334
2173,2022-04-29 05:55:00,906.0,907.0,904.0,904.0,6358
2174,2022-04-29 05:50:00,906.98,906.98,905.49,905.49,1971
2175,2022-04-29 05:45:00,911.84,911.84,907.5,907.5,10779
2176,2022-04-29 05:40:00,908.49,911.6,907.9,911.6,10717
2177,2022-04-29 05:35:00,905.5,909.0,905.5,909.0,10997
2178,2022-04-29 05:30:00,907.0,907.0,905.3,905.3,10446
2179,2022-04-29 05:25:00,904.5,908.0,904.5,908.0,6864
2180,2022-04-29 05:20:00,903.5,903.5,903.15,903.15,1740
2181,2022-04-29 05:15:00,903.2,903.2,902.8,903.0,2110
2182,2022-04-29 05:10:00,904.75,904.75,904.24,904.24,2562
2183,2022-04-29 05:05:00,906.52,906.66,906.0,906.0,3431
2184,2022-04-29 05:00:00,907.02,907.02,907.0,907.0,1680
2185,2022-04-29 04:55:00,907.0,907.0,907.0,907.0,1055
2186,2022-04-29 04:50:00,906.0,907.8,906.0,907.35,6898
2187,2022-04-29 04:45:00,904.47,906.0,904.47,906.0,5825
2188,2022-04-29 04:40:00,904.65,905.0,904.2,904.2,3983
2189,2022-04-29 04:35:00,904.51,905.0,904.1,904.65,9683
2190,2022-04-29 04:30:00,905.25,905.25,902.03,904.55,12589
2191,2022-04-29 04:25:00,906.5,906.62,903.45,905.0,16156
2192,2022-04-29 04:20:00,908.0,908.43,904.98,906.79,15910
2193,2022-04-29 04:15:00,905.04,908.9,905.04,908.5,16859
2194,2022-04-29 04:10:00,905.1,905.1,898.0,902.6,28922
2195,2022-04-29 04:05:00,899.0,914.7,888.0,906.01,56364
2196,2022-04-28 20:00:00,855.2,855.79,854.01,854.4999,10852
2197,2022-04-28 19:55:00,856.0,856.0,855.0,855.7,6632
2198,2022-04-28 19:50:00,857.9899,857.9899,856.75,856.75,3015
2199,2022-04-28 19:45:00,857.5,858.12,857.5,858.02,2581
2200,2022-04-28 19:40:00,858.0,858.0,857.03,857.75,2046
2201,2022-04-28 19:35:00,860.0,860.0,857.87,858.0,6880
2202,2022-04-28 19:30:00,858.61,858.61,858.54,858.54,694
2203,2022-04-28 19:25:00,859.5,860.0,859.0,859.0,3655
2204,2022-04-28 19:20:00,859.0,859.5,858.75,859.5,3700
